timestamp,distance_cm,d_int,d_frac,temp_c,t_int,t_frac,pressure_pa,pressure_scaled,p_hi,p_lo,raw_bytes
2025-12-13 17:59:36,125.83,125,83,22.67,22,67,102100,10210,39,226,"125,83,22,67,39,226"
2025-12-13 17:59:37,125.83,125,83,22.68,22,68,102110,10211,39,227,"125,83,22,68,39,227"
2025-12-13 17:59:37,126.26,126,26,22.68,22,68,102110,10211,39,227,"126,26,22,68,39,227"
2025-12-13 17:59:38,125.81,125,81,22.68,22,68,102110,10211,39,227,"125,81,22,68,39,227"
2025-12-13 17:59:38,125.83,125,83,22.68,22,68,102110,10211,39,227,"125,83,22,68,39,227"
2025-12-13 17:59:39,125.83,125,83,22.67,22,67,102110,10211,39,227,"125,83,22,67,39,227"
2025-12-13 17:59:40,125.83,125,83,22.67,22,67,102100,10210,39,226,"125,83,22,67,39,226"
2025-12-13 17:59:40,125.9,125,90,22.68,22,68,102100,10210,39,226,"125,90,22,68,39,226"
2025-12-13 17:59:41,125.83,125,83,22.68,22,68,102100,10210,39,226,"125,83,22,68,39,226"
2025-12-13 17:59:41,125.83,125,83,22.68,22,68,102100,10210,39,226,"125,83,22,68,39,226"
2025-12-13 17:59:42,125.81,125,81,22.68,22,68,102100,10210,39,226,"125,81,22,68,39,226"
2025-12-13 17:59:42,125.83,125,83,22.68,22,68,102100,10210,39,226,"125,83,22,68,39,226"
2025-12-13 17:59:43,125.81,125,81,22.68,22,68,102100,10210,39,226,"125,81,22,68,39,226"
2025-12-13 17:59:43,125.88,125,88,22.68,22,68,102100,10210,39,226,"125,88,22,68,39,226"
2025-12-13 17:59:44,125.88,125,88,22.68,22,68,102100,10210,39,226,"125,88,22,68,39,226"
2025-12-13 17:59:44,126.28,126,28,22.68,22,68,102100,10210,39,226,"126,28,22,68,39,226"
2025-12-13 17:59:45,125.88,125,88,22.69,22,69,102100,10210,39,226,"125,88,22,69,39,226"
2025-12-13 17:59:45,125.81,125,81,22.68,22,68,102100,10210,39,226,"125,81,22,68,39,226"
2025-12-13 17:59:46,125.9,125,90,22.68,22,68,102100,10210,39,226,"125,90,22,68,39,226"
2025-12-13 17:59:46,125.83,125,83,22.68,22,68,102100,10210,39,226,"125,83,22,68,39,226"
2025-12-13 17:59:47,125.85,125,85,22.68,22,68,102100,10210,39,226,"125,85,22,68,39,226"
2025-12-13 17:59:48,125.83,125,83,22.68,22,68,102100,10210,39,226,"125,83,22,68,39,226"
2025-12-13 17:59:48,125.81,125,81,22.68,22,68,102100,10210,39,226,"125,81,22,68,39,226"
2025-12-13 17:59:49,125.83,125,83,22.68,22,68,102100,10210,39,226,"125,83,22,68,39,226"
2025-12-13 17:59:49,125.9,125,90,22.68,22,68,102100,10210,39,226,"125,90,22,68,39,226"
2025-12-13 17:59:50,126.28,126,28,22.69,22,69,102100,10210,39,226,"126,28,22,69,39,226"
2025-12-13 17:59:50,125.9,125,90,22.69,22,69,102100,10210,39,226,"125,90,22,69,39,226"
2025-12-13 17:59:51,125.88,125,88,22.69,22,69,102100,10210,39,226,"125,88,22,69,39,226"
