timestamp,distance_cm,d_int,d_frac,temp_c,t_int,t_frac,pressure_pa,pressure_scaled,p_hi,p_lo,raw_bytes
2025-12-13 18:13:16,126.33,126,33,22.62,22,62,102150,10215,39,231,"126,33,22,62,39,231"
2025-12-13 18:13:16,126.33,126,33,22.62,22,62,102150,10215,39,231,"126,33,22,62,39,231"
2025-12-13 18:13:17,126.26,126,26,22.62,22,62,102150,10215,39,231,"126,26,22,62,39,231"
2025-12-13 18:13:17,125.88,125,88,22.61,22,61,102150,10215,39,231,"125,88,22,61,39,231"
2025-12-13 18:13:18,126.26,126,26,22.62,22,62,102150,10215,39,231,"126,26,22,62,39,231"
2025-12-13 18:13:18,125.88,125,88,22.62,22,62,102150,10215,39,231,"125,88,22,62,39,231"
2025-12-13 18:13:19,126.26,126,26,22.62,22,62,102150,10215,39,231,"126,26,22,62,39,231"
2025-12-13 18:13:19,51.69,51,69,22.62,22,62,102150,10215,39,231,"51,69,22,62,39,231"
2025-12-13 18:13:20,50.15,50,15,22.61,22,61,102150,10215,39,231,"50,15,22,61,39,231"
2025-12-13 18:13:20,50.13,50,13,22.61,22,61,102150,10215,39,231,"50,13,22,61,39,231"
2025-12-13 18:13:21,129.86,129,86,22.61,22,61,102150,10215,39,231,"129,86,22,61,39,231"
2025-12-13 18:13:22,50.83,50,83,22.61,22,61,102150,10215,39,231,"50,83,22,61,39,231"
2025-12-13 18:13:22,63.25,63,25,22.61,22,61,102160,10216,39,232,"63,25,22,61,39,232"
2025-12-13 18:13:23,46.92,46,92,22.62,22,62,102160,10216,39,232,"46,92,22,62,39,232"
2025-12-13 18:13:23,54.61,54,61,22.62,22,62,102160,10216,39,232,"54,61,22,62,39,232"
2025-12-13 18:13:24,53.06,53,6,22.61,22,61,102150,10215,39,231,"53,6,22,61,39,231"
2025-12-13 18:13:24,90.81,90,81,22.62,22,62,102150,10215,39,231,"90,81,22,62,39,231"
2025-12-13 18:13:25,90.48,90,48,22.62,22,62,102150,10215,39,231,"90,48,22,62,39,231"
2025-12-13 18:13:25,90.76,90,76,22.61,22,61,102150,10215,39,231,"90,76,22,61,39,231"
2025-12-13 18:13:26,93.81,93,81,22.61,22,61,102150,10215,39,231,"93,81,22,61,39,231"
2025-12-13 18:13:26,96.25,96,25,22.61,22,61,102170,10217,39,233,"96,25,22,61,39,233"
2025-12-13 18:13:27,97.5,97,50,22.61,22,61,102170,10217,39,233,"97,50,22,61,39,233"
2025-12-13 18:13:27,96.95,96,95,22.61,22,61,102170,10217,39,233,"96,95,22,61,39,233"
2025-12-13 18:13:28,89.32,89,32,22.6,22,60,102170,10217,39,233,"89,32,22,60,39,233"
2025-12-13 18:13:28,96.33,96,33,22.6,22,60,102170,10217,39,233,"96,33,22,60,39,233"
2025-12-13 18:13:29,95.44,95,44,22.6,22,60,102170,10217,39,233,"95,44,22,60,39,233"
2025-12-13 18:13:29,95.25,95,25,22.6,22,60,102170,10217,39,233,"95,25,22,60,39,233"
2025-12-13 18:13:30,95.68,95,68,22.59,22,59,102170,10217,39,233,"95,68,22,59,39,233"
2025-12-13 18:13:31,95.35,95,35,22.56,22,56,102170,10217,39,233,"95,35,22,56,39,233"
2025-12-13 18:13:31,95.32,95,32,22.56,22,56,102170,10217,39,233,"95,32,22,56,39,233"
2025-12-13 18:13:32,102.3,102,30,22.55,22,55,102170,10217,39,233,"102,30,22,55,39,233"
2025-12-13 18:13:32,56.17,56,17,22.54,22,54,102170,10217,39,233,"56,17,22,54,39,233"
2025-12-13 18:13:33,43.27,43,27,22.53,22,53,102170,10217,39,233,"43,27,22,53,39,233"
2025-12-13 18:13:33,127.05,127,5,22.5,22,50,102170,10217,39,233,"127,5,22,50,39,233"
2025-12-13 18:13:34,126.34,126,34,22.45,22,45,102170,10217,39,233,"126,34,22,45,39,233"
2025-12-13 18:13:34,128.93,128,93,22.42,22,42,102160,10216,39,232,"128,93,22,42,39,232"
2025-12-13 18:13:35,126.89,126,89,22.41,22,41,102150,10215,39,231,"126,89,22,41,39,231"
2025-12-13 18:13:35,126.89,126,89,22.39,22,39,102150,10215,39,231,"126,89,22,39,39,231"
